Id,Label,Class,Size,dis_class
FGF23,FGF23,GENE,1,INFLAMMATORY
FGF7,FGF7,GENE,1,INFLAMMATORY
FGFR1,FGFR1,GENE,1,INFLAMMATORY
FGFR3,FGFR3,GENE,1,INFLAMMATORY
FHIT,FHIT,GENE,1,INFLAMMATORY
FHL2,FHL2,GENE,1,INFLAMMATORY
FKBP11,FKBP11,GENE,1,INFLAMMATORY
FLG,FLG,GENE,1,INFLAMMATORY
FLI1,FLI1,GENE,1,INFLAMMATORY
FLT1,FLT1,GENE,1,INFLAMMATORY
FLT3,FLT3,GENE,1,INFLAMMATORY
FLT3LG,FLT3LG,GENE,1,INFLAMMATORY
FLVCR1,FLVCR1,GENE,1,INFLAMMATORY
FN1,FN1,GENE,1,INFLAMMATORY
FNDC5,FNDC5,GENE,1,INFLAMMATORY
FOS,FOS,GENE,1,INFLAMMATORY
FOSL1,FOSL1,GENE,1,INFLAMMATORY
FOSL2,FOSL2,GENE,1,INFLAMMATORY
FOXO1,FOXO1,GENE,1,INFLAMMATORY
FOXO3,FOXO3,GENE,1,INFLAMMATORY
FOXP3,FOXP3,GENE,1,INFLAMMATORY
FST,FST,GENE,1,INFLAMMATORY
FSTL1,FSTL1,GENE,1,INFLAMMATORY
FUT1,FUT1,GENE,1,INFLAMMATORY
FUT2,FUT2,GENE,1,INFLAMMATORY
FUT3,FUT3,GENE,1,INFLAMMATORY
FXN,FXN,GENE,1,INFLAMMATORY
FZD8,FZD8,GENE,1,INFLAMMATORY
G6PD,G6PD,GENE,1,INFLAMMATORY
GABRP,GABRP,GENE,1,INFLAMMATORY
GAPDH,GAPDH,GENE,1,INFLAMMATORY
GAS5,GAS5,GENE,1,INFLAMMATORY
GAS6,GAS6,GENE,1,INFLAMMATORY
GAST,GAST,GENE,1,INFLAMMATORY
GATA3,GATA3,GENE,1,INFLAMMATORY
GBP1,GBP1,GENE,1,INFLAMMATORY
GC,GC,GENE,1,INFLAMMATORY
GCG,GCG,GENE,1,INFLAMMATORY
GDF11,GDF11,GENE,1,INFLAMMATORY
GDF15,GDF15,GENE,1,INFLAMMATORY
GGTLC1,GGTLC1,GENE,1,INFLAMMATORY
GH1,GH1,GENE,1,INFLAMMATORY
GHR,GHR,GENE,1,INFLAMMATORY
GHRL,GHRL,GENE,1,INFLAMMATORY
GHSR,GHSR,GENE,1,INFLAMMATORY
GIF,GIF,GENE,1,INFLAMMATORY
GIP,GIP,GENE,1,INFLAMMATORY
GJB2,GJB2,GENE,1,INFLAMMATORY
GLB1,GLB1,GENE,1,INFLAMMATORY
GLP1R,GLP1R,GENE,1,INFLAMMATORY
GLS,GLS,GENE,1,INFLAMMATORY
GNAQ,GNAQ,GENE,1,INFLAMMATORY
GOPC,GOPC,GENE,1,INFLAMMATORY
GP2,GP2,GENE,1,INFLAMMATORY
GPBAR1,GPBAR1,GENE,1,INFLAMMATORY
GPER1,GPER1,GENE,1,INFLAMMATORY
GPI,GPI,GENE,1,INFLAMMATORY
GPR35,GPR35,GENE,1,INFLAMMATORY
GPRIN1,GPRIN1,GENE,1,INFLAMMATORY
GPX1,GPX1,GENE,1,INFLAMMATORY
GPX2,GPX2,GENE,1,INFLAMMATORY
GRK6,GRK6,GENE,1,INFLAMMATORY
GRN,GRN,GENE,1,INFLAMMATORY
GSK3B,GSK3B,GENE,1,INFLAMMATORY
GSN,GSN,GENE,1,INFLAMMATORY
GSTM1,GSTM1,GENE,1,INFLAMMATORY
